id,category,target_source,condition,question,retry_fired,verifier_score_initial,verifier_score_final,latency_ms,llm_call_count,groundedness_score,correctness_score,used_fallback,judge_reasoning
graph_2,graph_only,knowledge_graph,baseline,Which investor committed 1 billion dollars to Tata Passenger Electric Mobility (TPEM)?,False,0.9,0.9,14048.68,1,5,5,True,Rule-based overlap score (Ratio: 0.62)
graph_3,graph_only,knowledge_graph,baseline,What strategic corporate de-merger was approved by the Tata Motors Board for 2024-2025?,False,0.85,0.85,15478.89,1,5,5,True,Rule-based overlap score (Ratio: 0.77)
graph_4,graph_only,knowledge_graph,baseline,What are the key operating divisions and retail subsidiaries of Reliance Industries?,False,0.85,0.85,27131.3,1,4,3,True,Rule-based overlap score (Ratio: 0.56)
graph_5,graph_only,knowledge_graph,baseline,What clean energy transition commitment did Reliance Industries make for its Jamnagar Giga Complex?,False,0.85,0.85,15403.2,1,3,2,True,Rule-based overlap score (Ratio: 0.27)
graph_6,graph_only,knowledge_graph,baseline,Which luxury automotive subsidiary executes the Reimagine electrification strategy under Tata Motors?,False,0.85,0.85,27326.61,1,5,5,True,Rule-based overlap score (Ratio: 0.80)
web_1,web_only,web_search,baseline,What is the latest stock market news or valuation updates for Tata Motors in 2024?,False,0.85,0.85,22650.27,1,4,3,True,Rule-based overlap score (Ratio: 0.44)
web_2,web_only,web_search,baseline,What recent joint venture or partnership announcements were made by Reliance Jio in 2024?,False,0.85,0.85,21426.02,1,4,3,True,Rule-based overlap score (Ratio: 0.46)
web_3,web_only,web_search,baseline,What recent electric vehicle models were launched by Tata Motors in 2024 such as Punch EV or Curvv EV?,False,0.84,0.84,17316.9,1,5,5,True,Rule-based overlap score (Ratio: 0.60)
web_4,web_only,web_search,baseline,What recent green energy investments or giga factory updates did Reliance announce in 2024?,False,0.85,0.85,19880.57,1,4,3,True,Rule-based overlap score (Ratio: 0.36)
web_5,web_only,web_search,baseline,What is the current status of the Tata Motors commercial vehicle de-merger execution in 2024-2025?,False,0.85,0.85,15579.73,1,4,3,True,Rule-based overlap score (Ratio: 0.40)
web_6,web_only,web_search,baseline,What are the latest reported revenue and store expansion trends for Reliance Retail in 2024?,False,0.85,0.85,24895.86,1,4,3,True,Rule-based overlap score (Ratio: 0.50)
vec_1,vector_only,vector_db,auto,What are Reliance Industries key sustainability and net-zero target commitments mentioned in their annual reports?,False,0.92,0.92,28679.96,2,5,5,True,Rule-based overlap score (Ratio: 0.74)
vec_2,vector_only,vector_db,auto,How does Tata Motors describe its corporate strategy for domestic passenger vehicle expansion?,True,0.7,0.84,58828.93,4,4,3,True,Rule-based overlap score (Ratio: 0.43)
vec_3,vector_only,vector_db,auto,What is the primary objective of Jaguar Land Rover's Reimagine strategy?,False,0.85,0.85,23716.76,2,5,5,True,Rule-based overlap score (Ratio: 0.79)
vec_4,vector_only,vector_db,auto,What solar and renewable energy facilities is Reliance Industries building in Jamnagar?,False,0.85,0.85,22946.75,2,5,5,True,Rule-based overlap score (Ratio: 0.70)
vec_5,vector_only,vector_db,auto,What telematics technology platform is deployed across Tata Motors commercial vehicles fleet?,False,0.88,0.88,28226.95,2,5,5,True,Rule-based overlap score (Ratio: 0.60)
vec_6,vector_only,vector_db,auto,How did Reliance Retail expand its omnichannel presence and store network footprint in recent fiscal years?,False,0.85,0.85,47142.7,2,4,3,True,Rule-based overlap score (Ratio: 0.50)
sql_1,sql_only,sql_api,auto,What was Tata Motors consolidated net profit (PAT) in FY24?,False,0.9,0.9,23906.73,2,5,5,True,Rule-based overlap score (Ratio: 0.75)
sql_2,sql_only,sql_api,auto,What was Reliance Industries consolidated EBITDA in FY24?,False,0.85,0.85,23057.85,2,5,5,True,Rule-based overlap score (Ratio: 0.88)
sql_3,sql_only,sql_api,auto,What was Tata Motors net automotive debt reduction status by FY24?,False,0.85,0.85,31269.39,2,5,5,True,Rule-based overlap score (Ratio: 0.71)
sql_4,sql_only,sql_api,auto,What was Reliance Industries consolidated total revenue in FY24 in Crore Rupees?,False,0.85,0.85,17503.15,2,5,5,True,Rule-based overlap score (Ratio: 0.70)
sql_5,sql_only,sql_api,auto,What was Tata Motors Indian electric vehicle market share percentage in FY24?,False,0.8,0.8,25951.54,2,5,5,True,Rule-based overlap score (Ratio: 0.80)
sql_6,sql_only,sql_api,auto,What was Tata Motors EBITDA in FY24 in Crore Rupees?,False,0.9,0.9,17933.56,2,5,5,True,Rule-based overlap score (Ratio: 0.71)
graph_1,graph_only,knowledge_graph,auto,"What is the relationship between Tata Motors, JLR, and TPEM?",False,0.85,0.85,29819.52,2,5,5,True,Rule-based overlap score (Ratio: 0.74)
graph_2,graph_only,knowledge_graph,auto,Which investor committed 1 billion dollars to Tata Passenger Electric Mobility (TPEM)?,False,0.9,0.9,23431.42,2,5,5,True,Rule-based overlap score (Ratio: 0.62)
graph_3,graph_only,knowledge_graph,auto,What strategic corporate de-merger was approved by the Tata Motors Board for 2024-2025?,False,0.84,0.84,21930.33,2,5,5,True,Rule-based overlap score (Ratio: 0.77)
graph_4,graph_only,knowledge_graph,auto,What are the key operating divisions and retail subsidiaries of Reliance Industries?,False,0.85,0.85,34438.02,2,5,5,True,Rule-based overlap score (Ratio: 0.69)
graph_5,graph_only,knowledge_graph,auto,What clean energy transition commitment did Reliance Industries make for its Jamnagar Giga Complex?,False,0.92,0.92,41488.53,2,3,2,True,Rule-based overlap score (Ratio: 0.27)
graph_6,graph_only,knowledge_graph,auto,Which luxury automotive subsidiary executes the Reimagine electrification strategy under Tata Motors?,False,0.84,0.84,28263.06,2,5,5,True,Rule-based overlap score (Ratio: 0.80)
web_1,web_only,web_search,auto,What is the latest stock market news or valuation updates for Tata Motors in 2024?,False,0.85,0.85,27688.96,2,4,3,True,Rule-based overlap score (Ratio: 0.44)
web_2,web_only,web_search,auto,What recent joint venture or partnership announcements were made by Reliance Jio in 2024?,True,0.7,0.85,52445.89,4,4,3,True,Rule-based overlap score (Ratio: 0.31)
web_3,web_only,web_search,auto,What recent electric vehicle models were launched by Tata Motors in 2024 such as Punch EV or Curvv EV?,False,0.85,0.85,27642.26,2,5,5,True,Rule-based overlap score (Ratio: 0.60)
web_4,web_only,web_search,auto,What recent green energy investments or giga factory updates did Reliance announce in 2024?,False,0.85,0.85,25365.05,2,4,3,True,Rule-based overlap score (Ratio: 0.43)
web_5,web_only,web_search,auto,What is the current status of the Tata Motors commercial vehicle de-merger execution in 2024-2025?,False,0.92,0.92,38961.2,2,4,3,True,Rule-based overlap score (Ratio: 0.47)
web_6,web_only,web_search,auto,What are the latest reported revenue and store expansion trends for Reliance Retail in 2024?,False,0.85,0.85,27108.0,2,4,3,True,Rule-based overlap score (Ratio: 0.50)
vec_1,vector_only,vector_db,manual_toggle,What are Reliance Industries key sustainability and net-zero target commitments mentioned in their annual reports?,False,0.85,0.85,21149.94,2,4,3,True,Rule-based overlap score (Ratio: 0.53)
vec_2,vector_only,vector_db,manual_toggle,How does Tata Motors describe its corporate strategy for domestic passenger vehicle expansion?,False,0.85,0.85,19402.83,2,4,3,True,Rule-based overlap score (Ratio: 0.43)
vec_3,vector_only,vector_db,manual_toggle,What is the primary objective of Jaguar Land Rover's Reimagine strategy?,False,0.85,0.85,15584.56,2,5,5,True,Rule-based overlap score (Ratio: 0.63)
vec_4,vector_only,vector_db,manual_toggle,What solar and renewable energy facilities is Reliance Industries building in Jamnagar?,False,0.85,0.85,20199.11,2,5,5,True,Rule-based overlap score (Ratio: 0.70)
vec_5,vector_only,vector_db,manual_toggle,What telematics technology platform is deployed across Tata Motors commercial vehicles fleet?,True,0.73,0.73,63723.36,4,5,5,True,Rule-based overlap score (Ratio: 0.73)
vec_6,vector_only,vector_db,manual_toggle,How did Reliance Retail expand its omnichannel presence and store network footprint in recent fiscal years?,False,0.81,0.81,34260.51,2,5,5,True,Rule-based overlap score (Ratio: 0.75)
sql_1,sql_only,sql_api,manual_toggle,What was Tata Motors consolidated net profit (PAT) in FY24?,False,0.84,0.84,19996.14,2,5,5,True,Rule-based overlap score (Ratio: 0.75)
sql_2,sql_only,sql_api,manual_toggle,What was Reliance Industries consolidated EBITDA in FY24?,False,0.9,0.9,18065.41,2,5,5,True,Rule-based overlap score (Ratio: 0.62)
sql_3,sql_only,sql_api,manual_toggle,What was Tata Motors net automotive debt reduction status by FY24?,False,0.85,0.85,18844.58,2,4,3,True,Rule-based overlap score (Ratio: 0.50)
sql_4,sql_only,sql_api,manual_toggle,What was Reliance Industries consolidated total revenue in FY24 in Crore Rupees?,False,0.85,0.85,16420.3,2,4,3,True,Rule-based overlap score (Ratio: 0.50)
sql_5,sql_only,sql_api,manual_toggle,What was Tata Motors Indian electric vehicle market share percentage in FY24?,False,0.85,0.85,15532.07,2,5,5,True,Rule-based overlap score (Ratio: 0.80)
sql_6,sql_only,sql_api,manual_toggle,What was Tata Motors EBITDA in FY24 in Crore Rupees?,False,0.9,0.9,13027.72,2,4,3,True,Rule-based overlap score (Ratio: 0.57)
graph_1,graph_only,knowledge_graph,manual_toggle,"What is the relationship between Tata Motors, JLR, and TPEM?",False,0.85,0.85,23660.23,2,5,5,True,Rule-based overlap score (Ratio: 0.84)
graph_2,graph_only,knowledge_graph,manual_toggle,Which investor committed 1 billion dollars to Tata Passenger Electric Mobility (TPEM)?,False,0.85,0.85,19372.34,2,5,5,True,Rule-based overlap score (Ratio: 0.88)
graph_3,graph_only,knowledge_graph,manual_toggle,What strategic corporate de-merger was approved by the Tata Motors Board for 2024-2025?,False,0.85,0.85,23413.37,2,5,5,True,Rule-based overlap score (Ratio: 0.69)
graph_4,graph_only,knowledge_graph,manual_toggle,What are the key operating divisions and retail subsidiaries of Reliance Industries?,False,0.85,0.85,22967.08,2,5,5,True,Rule-based overlap score (Ratio: 0.62)
graph_5,graph_only,knowledge_graph,manual_toggle,What clean energy transition commitment did Reliance Industries make for its Jamnagar Giga Complex?,False,0.9,0.9,19408.35,2,4,3,True,Rule-based overlap score (Ratio: 0.53)
graph_6,graph_only,knowledge_graph,manual_toggle,Which luxury automotive subsidiary executes the Reimagine electrification strategy under Tata Motors?,False,0.85,0.85,27013.02,2,5,5,True,Rule-based overlap score (Ratio: 0.90)
web_1,web_only,web_search,manual_toggle,What is the latest stock market news or valuation updates for Tata Motors in 2024?,False,0.85,0.85,43699.42,2,4,3,True,Rule-based overlap score (Ratio: 0.44)
web_2,web_only,web_search,manual_toggle,What recent joint venture or partnership announcements were made by Reliance Jio in 2024?,False,0.85,0.85,28451.67,2,3,2,True,Rule-based overlap score (Ratio: 0.23)
web_3,web_only,web_search,manual_toggle,What recent electric vehicle models were launched by Tata Motors in 2024 such as Punch EV or Curvv EV?,False,0.85,0.85,28865.86,2,5,5,True,Rule-based overlap score (Ratio: 0.60)
web_4,web_only,web_search,manual_toggle,What recent green energy investments or giga factory updates did Reliance announce in 2024?,False,0.85,0.85,52193.27,2,4,3,True,Rule-based overlap score (Ratio: 0.43)
web_5,web_only,web_search,manual_toggle,What is the current status of the Tata Motors commercial vehicle de-merger execution in 2024-2025?,False,0.85,0.85,28574.83,2,3,2,True,Rule-based overlap score (Ratio: 0.20)
web_6,web_only,web_search,manual_toggle,What are the latest reported revenue and store expansion trends for Reliance Retail in 2024?,False,0.85,0.85,29970.83,2,4,3,True,Rule-based overlap score (Ratio: 0.38)
