id,category,target_source,condition,question,retry_fired,verifier_score_initial,verifier_score_final,latency_ms,llm_call_count,groundedness_score,correctness_score,judge_reasoning
web_5,web_only,web_search,baseline,What is the current status of the Tata Motors commercial vehicle de-merger execution in 2024-2025?,False,0.95,0.95,16.69,1,4,3,Rule-based overlap score (Ratio: 0.40)
web_6,web_only,web_search,baseline,What are the latest reported revenue and store expansion trends for Reliance Retail in 2024?,False,0.95,0.95,17.15,1,4,3,Rule-based overlap score (Ratio: 0.50)
vec_1,vector_only,vector_db,auto,What are Reliance Industries key sustainability and net-zero target commitments mentioned in their annual reports?,False,0.95,0.95,3048.27,2,5,5,Rule-based overlap score (Ratio: 0.68)
vec_2,vector_only,vector_db,auto,How does Tata Motors describe its corporate strategy for domestic passenger vehicle expansion?,False,0.95,0.95,361.74,2,4,3,Rule-based overlap score (Ratio: 0.36)
vec_3,vector_only,vector_db,auto,What is the primary objective of Jaguar Land Rover's Reimagine strategy?,False,0.95,0.95,235.57,2,5,5,Rule-based overlap score (Ratio: 0.68)
vec_4,vector_only,vector_db,auto,What solar and renewable energy facilities is Reliance Industries building in Jamnagar?,False,0.95,0.95,1766.12,2,5,5,Rule-based overlap score (Ratio: 0.80)
vec_5,vector_only,vector_db,auto,What telematics technology platform is deployed across Tata Motors commercial vehicles fleet?,False,0.95,0.95,3677.72,2,4,3,Rule-based overlap score (Ratio: 0.53)
vec_6,vector_only,vector_db,auto,How did Reliance Retail expand its omnichannel presence and store network footprint in recent fiscal years?,False,0.95,0.95,1460.75,2,5,5,Rule-based overlap score (Ratio: 0.69)
sql_1,sql_only,sql_api,auto,What was Tata Motors consolidated net profit (PAT) in FY24?,False,0.95,0.95,905.74,2,5,5,Rule-based overlap score (Ratio: 0.88)
sql_2,sql_only,sql_api,auto,What was Reliance Industries consolidated EBITDA in FY24?,False,0.95,0.95,791.12,2,5,5,Rule-based overlap score (Ratio: 0.75)
sql_3,sql_only,sql_api,auto,What was Tata Motors net automotive debt reduction status by FY24?,False,0.95,0.95,481.74,2,5,5,Rule-based overlap score (Ratio: 0.71)
sql_4,sql_only,sql_api,auto,What was Reliance Industries consolidated total revenue in FY24 in Crore Rupees?,False,0.95,0.95,998.37,2,5,5,Rule-based overlap score (Ratio: 0.70)
sql_5,sql_only,sql_api,auto,What was Tata Motors Indian electric vehicle market share percentage in FY24?,False,0.95,0.95,1055.71,2,5,5,Rule-based overlap score (Ratio: 0.80)
sql_6,sql_only,sql_api,auto,What was Tata Motors EBITDA in FY24 in Crore Rupees?,False,0.95,0.95,2734.59,2,5,5,Rule-based overlap score (Ratio: 0.86)
graph_1,graph_only,knowledge_graph,auto,"What is the relationship between Tata Motors, JLR, and TPEM?",False,0.95,0.95,2300.45,2,5,5,Rule-based overlap score (Ratio: 0.84)
graph_2,graph_only,knowledge_graph,auto,Which investor committed 1 billion dollars to Tata Passenger Electric Mobility (TPEM)?,False,0.95,0.95,201.11,2,5,5,Rule-based overlap score (Ratio: 0.88)
graph_3,graph_only,knowledge_graph,auto,What strategic corporate de-merger was approved by the Tata Motors Board for 2024-2025?,False,0.95,0.95,410.38,2,5,5,Rule-based overlap score (Ratio: 0.77)
graph_4,graph_only,knowledge_graph,auto,What are the key operating divisions and retail subsidiaries of Reliance Industries?,False,0.95,0.95,1589.6,2,5,5,Rule-based overlap score (Ratio: 0.94)
graph_5,graph_only,knowledge_graph,auto,What clean energy transition commitment did Reliance Industries make for its Jamnagar Giga Complex?,False,0.95,0.95,473.29,2,5,5,Rule-based overlap score (Ratio: 0.80)
graph_6,graph_only,knowledge_graph,auto,Which luxury automotive subsidiary executes the Reimagine electrification strategy under Tata Motors?,False,0.95,0.95,1132.34,2,5,5,Rule-based overlap score (Ratio: 1.00)
web_1,web_only,web_search,auto,What is the latest stock market news or valuation updates for Tata Motors in 2024?,False,0.95,0.95,669.88,2,4,3,Rule-based overlap score (Ratio: 0.38)
web_2,web_only,web_search,auto,What recent joint venture or partnership announcements were made by Reliance Jio in 2024?,False,0.95,0.95,1545.95,2,4,3,Rule-based overlap score (Ratio: 0.46)
web_3,web_only,web_search,auto,What recent electric vehicle models were launched by Tata Motors in 2024 such as Punch EV or Curvv EV?,False,0.95,0.95,1681.11,2,5,5,Rule-based overlap score (Ratio: 0.60)
web_4,web_only,web_search,auto,What recent green energy investments or giga factory updates did Reliance announce in 2024?,False,0.95,0.95,1401.23,2,4,3,Rule-based overlap score (Ratio: 0.43)
web_5,web_only,web_search,auto,What is the current status of the Tata Motors commercial vehicle de-merger execution in 2024-2025?,False,0.95,0.95,1077.79,2,4,3,Rule-based overlap score (Ratio: 0.47)
web_6,web_only,web_search,auto,What are the latest reported revenue and store expansion trends for Reliance Retail in 2024?,False,0.95,0.95,265.71,2,4,3,Rule-based overlap score (Ratio: 0.50)
vec_1,vector_only,vector_db,manual_toggle,What are Reliance Industries key sustainability and net-zero target commitments mentioned in their annual reports?,False,0.95,0.95,16.67,2,4,3,Rule-based overlap score (Ratio: 0.47)
vec_2,vector_only,vector_db,manual_toggle,How does Tata Motors describe its corporate strategy for domestic passenger vehicle expansion?,False,0.95,0.95,17.32,2,3,2,Rule-based overlap score (Ratio: 0.21)
vec_3,vector_only,vector_db,manual_toggle,What is the primary objective of Jaguar Land Rover's Reimagine strategy?,False,0.95,0.95,15.84,2,5,5,Rule-based overlap score (Ratio: 0.68)
vec_4,vector_only,vector_db,manual_toggle,What solar and renewable energy facilities is Reliance Industries building in Jamnagar?,False,0.95,0.95,16.01,2,5,5,Rule-based overlap score (Ratio: 0.75)
vec_5,vector_only,vector_db,manual_toggle,What telematics technology platform is deployed across Tata Motors commercial vehicles fleet?,False,0.95,0.95,17.04,2,4,3,Rule-based overlap score (Ratio: 0.47)
vec_6,vector_only,vector_db,manual_toggle,How did Reliance Retail expand its omnichannel presence and store network footprint in recent fiscal years?,False,0.95,0.95,16.67,2,5,5,Rule-based overlap score (Ratio: 0.69)
sql_1,sql_only,sql_api,manual_toggle,What was Tata Motors consolidated net profit (PAT) in FY24?,False,0.95,0.95,2.87,2,5,5,Rule-based overlap score (Ratio: 0.62)
sql_2,sql_only,sql_api,manual_toggle,What was Reliance Industries consolidated EBITDA in FY24?,False,0.95,0.95,2.77,2,5,5,Rule-based overlap score (Ratio: 0.62)
sql_3,sql_only,sql_api,manual_toggle,What was Tata Motors net automotive debt reduction status by FY24?,False,0.95,0.95,3.47,2,4,3,Rule-based overlap score (Ratio: 0.50)
sql_4,sql_only,sql_api,manual_toggle,What was Reliance Industries consolidated total revenue in FY24 in Crore Rupees?,False,0.95,0.95,2.83,2,5,5,Rule-based overlap score (Ratio: 0.60)
sql_5,sql_only,sql_api,manual_toggle,What was Tata Motors Indian electric vehicle market share percentage in FY24?,False,0.95,0.95,2.66,2,5,5,Rule-based overlap score (Ratio: 0.60)
sql_6,sql_only,sql_api,manual_toggle,What was Tata Motors EBITDA in FY24 in Crore Rupees?,False,0.95,0.95,2.6,2,5,5,Rule-based overlap score (Ratio: 0.71)
graph_1,graph_only,knowledge_graph,manual_toggle,"What is the relationship between Tata Motors, JLR, and TPEM?",False,0.95,0.95,2.1,2,5,5,Rule-based overlap score (Ratio: 0.74)
graph_2,graph_only,knowledge_graph,manual_toggle,Which investor committed 1 billion dollars to Tata Passenger Electric Mobility (TPEM)?,False,0.95,0.95,2.07,2,5,5,Rule-based overlap score (Ratio: 0.62)
graph_3,graph_only,knowledge_graph,manual_toggle,What strategic corporate de-merger was approved by the Tata Motors Board for 2024-2025?,False,0.95,0.95,2.15,2,4,3,Rule-based overlap score (Ratio: 0.31)
graph_4,graph_only,knowledge_graph,manual_toggle,What are the key operating divisions and retail subsidiaries of Reliance Industries?,False,0.95,0.95,2.56,2,5,5,Rule-based overlap score (Ratio: 0.94)
graph_5,graph_only,knowledge_graph,manual_toggle,What clean energy transition commitment did Reliance Industries make for its Jamnagar Giga Complex?,False,0.95,0.95,2.66,2,5,5,Rule-based overlap score (Ratio: 0.60)
graph_6,graph_only,knowledge_graph,manual_toggle,Which luxury automotive subsidiary executes the Reimagine electrification strategy under Tata Motors?,False,0.95,0.95,2.67,2,5,5,Rule-based overlap score (Ratio: 1.00)
web_1,web_only,web_search,manual_toggle,What is the latest stock market news or valuation updates for Tata Motors in 2024?,False,0.93,0.93,993.86,2,4,3,Rule-based overlap score (Ratio: 0.56)
web_2,web_only,web_search,manual_toggle,What recent joint venture or partnership announcements were made by Reliance Jio in 2024?,False,0.92,0.92,944.04,2,3,2,Rule-based overlap score (Ratio: 0.15)
web_3,web_only,web_search,manual_toggle,What recent electric vehicle models were launched by Tata Motors in 2024 such as Punch EV or Curvv EV?,False,0.95,0.95,471.13,2,5,5,Rule-based overlap score (Ratio: 0.60)
web_4,web_only,web_search,manual_toggle,What recent green energy investments or giga factory updates did Reliance announce in 2024?,False,0.93,0.93,1414.36,2,3,2,Rule-based overlap score (Ratio: 0.29)
web_5,web_only,web_search,manual_toggle,What is the current status of the Tata Motors commercial vehicle de-merger execution in 2024-2025?,False,0.93,0.93,1726.61,2,3,2,Rule-based overlap score (Ratio: 0.20)
web_6,web_only,web_search,manual_toggle,What are the latest reported revenue and store expansion trends for Reliance Retail in 2024?,False,0.93,0.93,3691.67,2,4,3,Rule-based overlap score (Ratio: 0.31)
